"Tamano","Temperatura","Proteinas","Oxigeno","LnProteinas","LnTamano"
8.5,16.2,14.5,2.9,2.67414864942653,2.14006616349627
10.8,16.2,58.5,2.9,4.06902675423781,2.37954613413017
12.6,14.9,40.6,3.4,3.70376806660769,2.53369681395743
12,14.9,78.5,3.4,4.36309862478836,2.484906649788
3.6,14.9,5.9,3.4,1.77495235091167,1.28093384546206
4.8,14.9,3.6,3.4,1.28093384546206,1.56861591791385
4.6,14.9,14.3,3.4,2.66025953726586,1.52605630349505
4.8,14.9,14.3,3.4,2.66025953726586,1.56861591791385
3.4,14.9,7.5,3.4,2.01490302054226,1.22377543162212
12.2,14.9,159.4,3.4,5.07141676635611,2.50143595173921
12.5,14.9,106.6,3.4,4.66908351173174,2.52572864430826
10.6,14.9,57.7,3.4,4.05525717351405,2.36085400111802
13.4,14.9,178.3,3.4,5.1834675248691,2.59525470695687
6,14.9,3.2,3.4,1.16315080980568,1.79175946922805
9.8,14.9,15.9,3.4,2.76631910922619,2.28238238567653
4.6,14.9,5.2,3.4,1.64865862558738,1.52605630349505
3.9,14.9,9.6,3.4,2.26176309847379,1.3609765531356
5.4,14.9,13.3,3.4,2.58776403522771,1.68639895357023
5.4,14.9,5.2,3.4,1.64865862558738,1.68639895357023
4,14.9,6.1,3.4,1.80828877117927,1.38629436111989
4.9,14.9,5.2,3.4,1.64865862558738,1.58923520511658
7.5,14.9,44.1,3.4,3.7864597824528,2.01490302054226
